,Unnamed: 0,HomeTeam,AwayTeam,HomeScore,AwayScore,Time,Ref,HomeForm,AwayForm,HomeMissingPlayers,AwayMissingPlayers,Round,GD,HomeAtt,HomeDef,HomeMid,HomeOVR,AwayAtt,AwayDef,AwayMid,AwayOVR,y,Year,Month,Day,Round_Number
52,52,Huddersfield,Watford,1,0,2018-04-14 17:00:00,Craig Pawson,2,4,4,6,Premier League Round 34 2017/2018,1,73,72,73,73,77,76,76,77,1,2018,4,14,34
53,53,Swansea,Everton,1,1,2018-04-14 17:00:00,Lee Mason,5,7,5,5,Premier League Round 34 2017/2018,0,75,75,77,76,79,79,82,80,0,2018,4,14,34
54,54,Liverpool,Bournemouth,3,0,2018-04-14 19:30:00,Chris Kavanagh,13,6,4,4,Premier League Round 34 2017/2018,3,83,80,82,82,76,75,74,75,1,2018,4,14,34
55,55,Tottenham,Man City,1,3,2018-04-14 21:45:00,Jonathan Moss,12,6,4,4,Premier League Round 34 2017/2018,-2,86,81,82,82,84,81,85,83,-1,2018,4,14,34
56,56,Newcastle,Arsenal,2,1,2018-04-15 15:30:00,Anthony Taylor,10,13,2,4,Premier League Round 34 2017/2018,1,74,75,75,75,86,80,82,83,1,2018,4,15,34
57,57,Man United,West Brom,0,1,2018-04-15 18:00:00,Paul Tierney,12,1,4,4,Premier League Round 34 2017/2018,-1,86,81,83,83,80,76,75,76,-1,2018,4,15,34
58,58,Arsenal,Stoke,3,0,2018-04-01 15:30:00,Craig Pawson,9,3,4,5,Premier League Round 32 2017/2018,3,86,80,82,83,78,77,77,77,1,2018,4,1,32
59,59,Chelsea,Tottenham,1,3,2018-04-01 18:00:00,Andre Marriner,6,12,4,4,Premier League Round 32 2017/2018,-2,85,82,85,84,86,81,82,82,-1,2018,4,1,32
60,60,Everton,Liverpool,0,0,2018-04-07 14:30:00,Michael Oliver,6,10,5,6,Premier League Round 33 2017/2018,0,79,79,82,80,83,80,82,82,0,2018,4,7,33
61,61,Bournemouth,Crystal Palace,2,2,2018-04-07 17:00:00,Jonathan Moss,6,3,4,7,Premier League Round 33 2017/2018,0,76,75,74,75,81,75,76,76,0,2018,4,7,33
62,62,Brighton,Huddersfield,1,1,2018-04-07 17:00:00,Anthony Taylor,6,4,1,4,Premier League Round 33 2017/2018,0,74,73,74,74,73,72,73,73,0,2018,4,7,33
63,63,Leicester,Newcastle,1,2,2018-04-07 17:00:00,Stuart Attwell,8,10,3,2,Premier League Round 33 2017/2018,-1,79,76,79,78,74,75,75,75,-1,2018,4,7,33
64,64,Stoke,Tottenham,1,2,2018-04-07 17:00:00,Graham Scott,2,12,4,4,Premier League Round 33 2017/2018,-1,78,77,77,77,86,81,82,82,-1,2018,4,7,33
65,65,Watford,Burnley,1,2,2018-04-07 17:00:00,Paul Tierney,7,10,4,5,Premier League Round 33 2017/2018,-1,77,76,76,77,74,75,75,75,-1,2018,4,7,33
66,66,West Brom,Swansea,1,1,2018-04-07 17:00:00,Roger East,0,7,6,4,Premier League Round 33 2017/2018,0,80,76,75,76,75,75,77,76,0,2018,4,7,33
67,67,Man City,Man United,2,3,2018-04-07 19:30:00,Martin Atkinson,9,12,4,4,Premier League Round 33 2017/2018,-1,84,81,85,83,86,81,83,83,-1,2018,4,7,33
68,68,Bournemouth,West Brom,2,1,2018-03-17 17:00:00,Graham Scott,5,0,4,4,Premier League Round 31 2017/2018,1,76,75,74,75,80,76,75,76,1,2018,3,17,31
69,69,Huddersfield,Crystal Palace,0,2,2018-03-17 17:00:00,Mike Dean,7,1,2,3,Premier League Round 31 2017/2018,-2,73,72,73,73,81,75,76,76,-1,2018,3,17,31
70,70,Stoke,Everton,1,2,2018-03-17 17:00:00,Martin Atkinson,3,6,4,4,Premier League Round 31 2017/2018,-1,78,77,77,77,79,79,82,80,-1,2018,3,17,31
71,71,Liverpool,Watford,5,0,2018-03-17 19:30:00,Anthony Taylor,10,9,2,7,Premier League Round 31 2017/2018,5,83,80,82,82,77,76,76,77,1,2018,3,17,31
72,72,Crystal Palace,Liverpool,1,2,2018-03-31 14:30:00,Neil Swarbrick,3,10,9,1,Premier League Round 32 2017/2018,-1,81,75,76,76,83,80,82,82,-1,2018,3,31,32
73,73,Brighton,Leicester,0,2,2018-03-31 17:00:00,Chris Kavanagh,9,8,3,2,Premier League Round 32 2017/2018,-2,74,73,74,74,79,76,79,78,-1,2018,3,31,32
74,74,Man United,Swansea,2,0,2018-03-31 17:00:00,Robert Madley,12,7,3,5,Premier League Round 32 2017/2018,2,86,81,83,83,75,75,77,76,1,2018,3,31,32
75,75,Newcastle,Huddersfield,1,0,2018-03-31 17:00:00,Martin Atkinson,8,4,3,3,Premier League Round 32 2017/2018,1,74,75,75,75,73,72,73,73,1,2018,3,31,32
76,76,Watford,Bournemouth,2,2,2018-03-31 17:00:00,Andrew Madley,6,5,4,4,Premier League Round 32 2017/2018,0,77,76,76,77,76,75,74,75,0,2018,3,31,32
77,77,West Brom,Burnley,1,2,2018-03-31 17:00:00,Lee Probert,0,8,5,5,Premier League Round 32 2017/2018,-1,80,76,75,76,74,75,75,75,-1,2018,3,31,32
78,78,West Ham,Southampton,3,0,2018-03-31 17:00:00,Jonathan Moss,3,8,4,4,Premier League Round 32 2017/2018,3,80,78,79,79,78,77,78,78,1,2018,3,31,32
79,79,Everton,Man City,1,3,2018-03-31 19:30:00,Paul Tierney,9,12,4,4,Premier League Round 32 2017/2018,-2,79,79,82,80,84,81,85,83,-1,2018,3,31,32
80,80,Man United,Liverpool,2,1,2018-03-10 14:30:00,Craig Pawson,10,13,7,1,Premier League Round 30 2017/2018,1,86,81,83,83,83,80,82,82,1,2018,3,10,30
81,81,Everton,Brighton,2,0,2018-03-10 17:00:00,Roger East,6,13,4,2,Premier League Round 30 2017/2018,2,79,79,82,80,74,73,74,74,1,2018,3,10,30
82,82,Huddersfield,Swansea,0,0,2018-03-10 17:00:00,Michael Oliver,9,10,1,4,Premier League Round 30 2017/2018,0,73,72,73,73,75,75,77,76,0,2018,3,10,30
83,83,Newcastle,Southampton,3,0,2018-03-10 17:00:00,Andre Marriner,6,8,4,4,Premier League Round 30 2017/2018,3,74,75,75,75,78,77,78,78,1,2018,3,10,30
84,84,West Brom,Leicester,1,4,2018-03-10 17:00:00,Robert Madley,0,6,4,1,Premier League Round 30 2017/2018,-3,80,76,75,76,79,76,79,78,-1,2018,3,10,30
85,85,West Ham,Burnley,0,3,2018-03-10 17:00:00,Lee Mason,4,6,6,5,Premier League Round 30 2017/2018,-3,80,78,79,79,74,75,75,75,-1,2018,3,10,30
86,86,Chelsea,Crystal Palace,2,1,2018-03-10 19:30:00,Anthony Taylor,7,2,4,4,Premier League Round 30 2017/2018,1,85,82,85,84,81,75,76,76,1,2018,3,10,30
