,Unnamed: 0,HomeTeam,AwayTeam,HomeScore,AwayScore,Time,Ref,HomeForm,AwayForm,HomeMissingPlayers,AwayMissingPlayers,Round,GD,HomeAtt,HomeDef,HomeMid,HomeOVR,AwayAtt,AwayDef,AwayMid,AwayOVR,y,Year,Month,Day,Round_Number
616,616,Southampton,Leicester,2,2,2021-12-01 21:30:00,Robert Jones,6,8,6,6,Premier League Round 14 2021/2022,0,76,73,77,76,82,79,81,80,0,2021,12,1,14
617,617,Watford,Chelsea,1,2,2021-12-01 21:30:00,David Coote,6,11,6,6,Premier League Round 14 2021/2022,-1,74,73,75,75,84,81,86,83,-1,2021,12,1,14
618,618,West Ham,Brighton,1,1,2021-12-01 21:30:00,Chris Kavanagh,7,3,7,6,Premier League Round 14 2021/2022,0,79,79,79,79,75,75,77,76,0,2021,12,1,14
619,619,Wolves,Burnley,0,0,2021-12-01 21:30:00,John Brooks,8,6,7,6,Premier League Round 14 2021/2022,0,78,77,81,78,76,77,76,76,0,2021,12,1,14
620,620,Aston Villa,Man City,1,2,2021-12-01 22:15:00,Mike Dean,6,15,6,8,Premier League Round 14 2021/2022,-1,78,77,76,78,84,86,87,85,-1,2021,12,1,14
621,621,Everton,Liverpool,1,4,2021-12-01 22:15:00,Paul Tierney,1,12,6,6,Premier League Round 14 2021/2022,-3,79,79,78,79,86,85,83,84,-1,2021,12,1,14
622,622,Tottenham,Brentford,2,0,2021-12-02 21:30:00,Jonathan Moss,7,7,6,6,Premier League Round 14 2021/2022,2,86,80,80,82,73,73,74,73,1,2021,12,2,14
623,623,Man United,Arsenal,3,2,2021-12-02 22:15:00,Martin Atkinson,5,12,6,6,Premier League Round 14 2021/2022,1,85,83,84,84,83,77,81,79,1,2021,12,2,14
624,624,West Ham,Chelsea,3,2,2021-12-04 14:30:00,Andre Marriner,7,11,6,6,Premier League Round 15 2021/2022,1,79,79,79,79,84,81,86,83,1,2021,12,4,15
625,625,Newcastle,Burnley,1,0,2021-12-04 17:00:00,Paul Tierney,3,6,7,6,Premier League Round 15 2021/2022,1,79,74,75,76,76,77,76,76,1,2021,12,4,15
626,626,Southampton,Brighton,1,1,2021-12-04 17:00:00,Anthony Taylor,7,4,7,6,Premier League Round 15 2021/2022,0,76,73,77,76,75,75,77,76,0,2021,12,4,15
627,627,Wolves,Liverpool,0,1,2021-12-04 17:00:00,Chris Kavanagh,8,12,6,6,Premier League Round 15 2021/2022,-1,78,77,81,78,86,85,83,84,-1,2021,12,4,15
628,628,Watford,Man City,1,3,2021-12-04 19:30:00,Simon Hooper,3,15,6,6,Premier League Round 15 2021/2022,-2,74,73,75,75,84,86,87,85,-1,2021,12,4,15
629,629,Arsenal,Newcastle,2,0,2021-11-27 14:30:00,Stuart Attwell,12,3,6,6,Premier League Round 13 2021/2022,2,83,77,81,79,79,74,75,76,1,2021,11,27,13
630,630,Crystal Palace,Aston Villa,1,2,2021-11-27 17:00:00,Michael Salisbury,9,3,6,6,Premier League Round 13 2021/2022,-1,77,74,76,76,78,77,76,78,-1,2021,11,27,13
631,631,Liverpool,Southampton,4,0,2021-11-27 17:00:00,Andre Marriner,10,7,6,6,Premier League Round 13 2021/2022,4,86,85,83,84,76,73,77,76,1,2021,11,27,13
632,632,Norwich,Wolves,0,0,2021-11-27 17:00:00,Simon Hooper,7,10,6,5,Premier League Round 13 2021/2022,0,76,74,74,74,78,77,81,78,0,2021,11,27,13
633,633,Brighton,Leeds,0,0,2021-11-27 19:30:00,Craig Pawson,2,5,6,6,Premier League Round 13 2021/2022,0,75,75,77,76,78,76,78,77,0,2021,11,27,13
634,634,Brentford,Everton,1,0,2021-11-28 16:00:00,Darren England,4,1,6,8,Premier League Round 13 2021/2022,1,73,73,74,73,79,79,78,79,1,2021,11,28,13
635,635,Leicester,Watford,4,2,2021-11-28 16:00:00,Andrew Madley,5,6,7,6,Premier League Round 13 2021/2022,2,82,79,81,80,74,73,75,75,1,2021,11,28,13
636,636,Man City,West Ham,2,1,2021-11-28 16:00:00,Michael Oliver,12,10,7,6,Premier League Round 13 2021/2022,1,84,86,87,85,79,79,79,79,1,2021,11,28,13
637,637,Chelsea,Man United,1,1,2021-11-28 18:30:00,Anthony Taylor,13,7,6,6,Premier League Round 13 2021/2022,0,84,81,86,83,85,83,84,84,0,2021,11,28,13
638,638,Newcastle,Norwich,1,1,2021-11-30 21:30:00,Andrew Madley,3,7,6,6,Premier League Round 14 2021/2022,0,79,74,75,76,76,74,74,74,0,2021,11,30,14
639,639,Leeds,Crystal Palace,1,0,2021-11-30 22:15:00,Kevin Friend,5,8,6,6,Premier League Round 14 2021/2022,1,78,76,78,77,77,74,76,76,1,2021,11,30,14
640,640,Leicester,Chelsea,0,3,2021-11-20 14:30:00,Paul Tierney,8,13,6,6,Premier League Round 12 2021/2022,-3,82,79,81,80,84,81,86,83,-1,2021,11,20,12
641,641,Aston Villa,Brighton,2,0,2021-11-20 17:00:00,Anthony Taylor,0,3,6,6,Premier League Round 12 2021/2022,2,78,77,76,78,75,75,77,76,1,2021,11,20,12
642,642,Burnley,Crystal Palace,3,3,2021-11-20 17:00:00,Simon Hooper,5,9,7,6,Premier League Round 12 2021/2022,0,76,77,76,76,77,74,76,76,0,2021,11,20,12
643,643,Newcastle,Brentford,3,3,2021-11-20 17:00:00,Robert Jones,2,3,7,6,Premier League Round 12 2021/2022,0,79,74,75,76,73,73,74,73,0,2021,11,20,12
644,644,Norwich,Southampton,2,1,2021-11-20 17:00:00,Martin Atkinson,5,10,6,6,Premier League Round 12 2021/2022,1,76,74,74,74,76,73,77,76,1,2021,11,20,12
645,645,Watford,Man United,4,1,2021-11-20 17:00:00,Jonathan Moss,3,7,6,5,Premier League Round 12 2021/2022,3,74,73,75,75,85,83,84,84,1,2021,11,20,12
646,646,Wolves,West Ham,1,0,2021-11-20 17:00:00,Mike Dean,10,13,7,6,Premier League Round 12 2021/2022,1,78,77,81,78,79,79,79,79,1,2021,11,20,12
647,647,Liverpool,Arsenal,4,0,2021-11-20 19:30:00,Michael Oliver,10,13,6,6,Premier League Round 12 2021/2022,4,86,85,83,84,83,77,81,79,1,2021,11,20,12
648,648,Man City,Everton,3,0,2021-11-21 16:00:00,Stuart Attwell,9,2,6,6,Premier League Round 12 2021/2022,3,84,86,87,85,79,79,78,79,1,2021,11,21,12
649,649,Tottenham,Leeds,2,1,2021-11-21 18:30:00,Andre Marriner,7,5,6,6,Premier League Round 12 2021/2022,1,86,80,80,82,78,76,78,77,1,2021,11,21,12
650,650,Southampton,Aston Villa,1,0,2021-11-05 22:00:00,Andrew Madley,7,3,6,6,Premier League Round 11 2021/2022,1,76,73,77,76,78,77,76,78,1,2021,11,5,11
651,651,Man United,Man City,0,2,2021-11-06 14:30:00,Michael Oliver,7,9,5,9,Premier League Round 11 2021/2022,-2,85,83,84,84,84,86,87,85,-1,2021,11,6,11
652,652,Brentford,Norwich,1,2,2021-11-06 17:00:00,Jarred Gillett,6,2,6,6,Premier League Round 11 2021/2022,-1,73,73,74,73,76,74,74,74,-1,2021,11,6,11
653,653,Chelsea,Burnley,1,1,2021-11-06 17:00:00,Andre Marriner,15,5,6,6,Premier League Round 11 2021/2022,0,84,81,86,83,76,77,76,76,0,2021,11,6,11
654,654,Crystal Palace,Wolves,2,0,2021-11-06 17:00:00,Graham Scott,7,13,6,6,Premier League Round 11 2021/2022,2,77,74,76,76,78,77,81,78,1,2021,11,6,11
655,655,Brighton,Newcastle,1,1,2021-11-06 19:30:00,David Coote,3,2,6,7,Premier League Round 11 2021/2022,0,75,75,77,76,79,74,75,76,0,2021,11,6,11
656,656,Arsenal,Watford,1,0,2021-11-07 16:00:00,Kevin Friend,11,4,6,6,Premier League Round 11 2021/2022,1,83,77,81,79,74,73,75,75,1,2021,11,7,11
657,657,Everton,Tottenham,0,0,2021-11-07 16:00:00,Chris Kavanagh,4,6,6,6,Premier League Round 11 2021/2022,0,79,79,78,79,86,80,80,82,0,2021,11,7,11
